ADOPTED TERM,EN-US TERM,PT-BR TERM,CHAPTER,ORDER,EN-US DEFINITION,PT-BR DEFINITION
"``assert``, instrução",``assert`` statement,instrução ``assert``,16,7,A statement that check a condition and raises an exception if it fails.,
"``global``, declaração",``global`` statement,declaração ``global``,11,18,A statement that declares a variable name global.,
"``import``, instrução",``import`` statement,instrução ``import``,3,15,A statement that reads a module file and creates a module object.,
``None``,``None``,-,3,13,A special value returned by void functions.,
"``print``, instrução",``print`` statement,instrução ``print``,1,8,An instruction that causes the Python interpreter to display a value on the screen.,
"``raise``, instrução",``raise`` statement,instrução ``raise``,11,13,A statement that (deliberately) raises an exception.,
"``return``, instrução",``return`` statement,instrução ``return``,5,12,A statement that causes a function to end immediately and return to the caller.,
acumulador,accumulator,acumulador,10,4,A variable used in a loop to add up or accumulate a result.,
algoritmo,algorithm,algoritmo,7,8,A general process for solving a category of problems.,
aliasing,aliasing,“apelidamento”,10,13,A circumstance where two or more variables refer to the same object.,
analisar,parse,analisar,1,19,To examine a program and analyze the syntactic structure.,
análise de algoritmos,analysis of algorithms,análise de algoritmos,B,1,A way to compare algorithms in terms of their run time and/or space requirements.,
argumento,argument,argumento,3,8,A value provided to a function when the function is called. This value is assigned to the corresponding parameter in the function.,
argumento nomeado,keyword argument,argumento nomeado,4,5,An argument that includes the name of the parameter as a “keyword”.,
argumento opcional,optional argument,argumento opcional,8,12,A function or method argument that is not required.,
argumento posicional,positional argument,argumento posicional,17,5,"An argument that does not include a parameter name, so it is not a keyword argument.",
arquivo-texto,text file,arquivo-texto,14,5,A sequence of characters stored in permanent storage like a hard drive.,
assinatura,interface,"assinatura, interface",4,6,"A description of how to use a function, including the name and descriptions of the arguments and return value.",
atribuição,assignment,atribuição,2,2,A statement that assigns a value to a variable.,
atribuição combinada,augmented assignment,atribuição combinada,10,5,A statement that updates the value of a variable using an operator like ``+=``.,
atributo,attribute,atributo,15,5,One of the named values associated with an object.,
atributo de classe,class attribute,atributo de classe,18,2,An attribute associated with a class object. Class attributes are defined inside a class definition but outside any method.,
atributo de instância,instance attribute,atributo de instância,18,3,An attribute associated with an instance of a class.,
atualização,update,atualização,7,2,An assignment where the new value of the variable depends on the old.,
avaliar,evaluate,avaliar,2,7,To simplify an expression by performing the operations in order to yield a single value.,
banco de dados,database,banco de dados,14,11,A file whose contents are organized like a dictionary with keys that correspond to values.,
bug,bug,-,1,20,An error in a program.,
busca,search,busca,8,9,A pattern of traversal that stops when it finds what it is looking for.,
busca,lookup,"busca, pesquisa",11,11,A dictionary operation that takes a key and finds the corresponding value.,
busca,search,busca,B,10,The problem of locating an element of a collection (like a list or dictionary) or determining that it is not present.,
busca invertida,reverse lookup,busca invertida,11,12,A dictionary operation that takes a value and finds one or more keys that map to it.,
cabeçalho,header,cabeçalho,3,4,The first line of a function definition.,
caminho,path,caminho,14,7,A string that identifies a file.,
caminho absoluto,absolute path,caminho absoluto,14,9,A path that starts from the topmost directory in the file system.,
caminho relativo,relative path,caminho relativo,14,8,A path that starts from the current directory.,
capturar,catch,capturar,14,10,To prevent an exception from terminating a program using the try and except statements.,
cardinalidade,multiplicity,"cardinalidade, multiplicidadade",18,12,"A notation in a class diagram that shows, for a HAS-A relationship, how many references there are to instances of another class.",
caso base,base case,caso base,5,14,A conditional branch in a recursive function that does not make a recursive call.,
caso especial,special case,caso especial,9,3,A test case that is atypical or non-obvious (and less likely to be handled correctly).,
chamada de função,function call,chamada de função,3,7,A statement that runs a function. It consists of the function name followed by an argument list in parentheses.,
chave,key,chave,11,5,An object that appears in a dictionary as the first part of a key-value pair.,
classe,class,classe,15,1,A programmer-defined type. A class definition creates a new class object.,
classe base,parent class,"classe base, superclasse",18,6,The class from which a child class inherits.,
classe derivada,child class,"classe derivada, subclasse",18,7,A new class created by inheriting from an existing class; also called a “subclass”.,
codificar,encode,codificar,18,1,To represent one set of values using another set of values by constructing a mapping between them.,
código morto,dead code,código morto,6,2,"Part of a program that can never run, often because it appears after a return statement.",
código provisório,scaffolding,"“andaime”, código provisório",6,4,Code that is used during program development but is not part of the final version.,
código provisório,slice,fatia,8,5,A part of a string specified by a range of indices.,
comentário,comment,comentário,2,15,Information in a program that is meant for other programmers (or anyone reading the source code) and has no effect on the execution of the program.,
composição,composition,composição,3,18,"Using an expression as part of a larger expression, or a statement as part of a larger statement.",
concatenar,concatenate,concatenar,2,14,To join two operands end-to-end.,
condição,condition,condição,5,7,The boolean expression in a conditional statement that determines which branch runs.,
condicional aninhado,nested conditional,condicional aninhado,5,11,A conditional statement that appears in one of the branches of another conditional statement.,
condicional encadeado,chained conditional,condicional encadeado,5,10,A conditional statement with a series of alternative branches.,
contador,counter,contador,8,10,"A variable used to count something, usually initialized to zero and then incremented.",
cópia profunda,deep copy,cópia profunda,15,8,"To copy the contents of an object as well as any embedded objects, and any objects embedded in them, and so on; implemented by the deepcopy function in the copy module.",
cópia rasa,shallow copy,cópia rasa,15,7,"To copy the contents of an object, including any references to embedded objects; implemented by the copy function in the copy module.",
corpo,body,corpo,3,5,The sequence of statements inside a function definition.,
declaração,declaration,declaração,11,20,A statement like global that tells the interpreter something about a variable.,
decrementar,decrement,decrementar,7,5,An update that decreases the value of a variable.,
definição de função,function definition,definição de função,3,2,"A statement that creates a new function, specifying its name, parameters, and the statements it contains.",
delimitador,delimiter,delimitador,10,14,A character or string used to indicate where a string should be split.,
dependência,dependency,dependência,18,10,"A relationship between two classes where instances of one class use instances of the other class, but do not store them as attributes.",
depuração,debugging,depuração,1,21,The process of finding and correcting bugs.,
depuração com patinho de borracha,rubber duck debugging,depuração com patinho de borracha,13,6,"Debugging by explaining your problem to an inanimate object such as a rubber duck. Articulating the problem can help you solve it, even if the rubber duck doesn’t know Python.",
desempacotamento de tupla,tuple assignment,desempacotamento de tupla,12,2,An assignment with a sequence on the right side and a tuple of variables on the left. The right side is evaluated and then its elements are assigned to the variables on the left.,
desenvolvimento incremental,incremental development,desenvolvimento incremental,6,3,A program development plan intended to avoid debugging by adding and testing only a small amount of code at a time.,
desenvolvimento planejado,designed development,desenvolvimento planejado,16,2,A development plan that involves high-level insight into the problem and more planning than incremental development or prototype development.,
despacho por tipo,type-based dispatch,despacho por tipo,17,7,A programming pattern that checks the type of an operand and invokes different functions for different types.,
desvio,branch,desvio,5,9,One of the alternative sequences of statements in a conditional statement.,
determinístico,deterministic,determinístico,13,1,"Pertaining to a program that does the same thing each time it runs, given the same inputs.",
diagrama de chamadas,call graph,diagrama de chamadas,11,15,"A diagram that shows every frame created during the execution of a program, with an arrow from each caller to each callee.",
diagrama de classe,class diagram,diagrama de classe,18,11,A diagram that shows the classes in a program and the relationships between them.,
diagrama de estado,state diagram,diagrama de estado,2,3,A graphical representation of a set of variables and the values they refer to.,
diagrama de objetos,object diagram,diagrama de objetos,15,9,"A diagram that shows objects, their attributes, and the values of the attributes.",
diagrama de pilha,stack diagram,diagrama de pilha,3,20,"A graphical representation of a stack of functions, their variables, and the values they refer to.",
dicionário,dictionary,dicionário,11,2,A mapping from keys to their corresponding values.,
diretório,directory,diretório,14,6,"A named collection of files, also called a folder.",
divisão pelo piso,floor division,divisão pelo piso,5,1,"An operator, denoted //, that divides two numbers and rounds down (toward zero) to an integer.",
docstring,docstring,-,4,9,A string that appears at the top of a function definition to document the function’s interface.,
elemento,element,elemento,10,2,"One of the values in a list (or other sequence), also called items.",
encapsulamento,encapsulation,encapsulamento,4,3,The process of transforming a sequence of statements into a function definition.,
encapsulamento de dados,data encapsulation,encapsulamento de dados,18,13,A program development plan that involves a prototype using global variables and a final version that makes the global variables into instance attributes.,
equivalente,equivalent,equivalente,10,10,Having the same value.,
erro semântico,semantic error,erro semântico,2,19,An error in a program that makes it do something other than what the programmer intended.,
erro sintático,syntax error,erro sintático,2,16,An error in a program that makes it impossible to parse (and therefore impossible to interpret).,
errro estrutural,shape error,errro estrutural,12,8,"An error caused because a value has the wrong shape; that is, the wrong type or size.",
estrutura de dados,data structure,estrutura de dados,12,7,"A collection of related values, often organized in lists, dictionaries, tuples, etc.",
exceção,exception,exceção,2,17,An error that is detected while the program is running.,
